id,display_name_key,description_key,name,hex_desc,texture_path,slot_limit,cast_condition,target_data,effect_data,traits,enemy_owned,enabled
fh020,,,puffcaps,Heal all enemies 2. Apply 1 poisoned to all enemies.,res://Assets/dice-puffcaps.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {}, ""index"": 0}]","[{""type"": 0, ""value"": 2, ""cast_condition"": 0, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st009"", ""cast_condition"": 0, ""target_index"": [0]}]",,,
fh021,,,heavy punch,Deal 14 to the face-up enemy. Grant self 1 stack of slow.,res://Assets/dice-heavy punch.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {}, ""index"": 0}, {""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 1}]","[{""type"": 0, ""value"": -14, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st012"", ""target_index"": [1]}]",,,
fh022,,,spread spore,Deal 4 and grant 1 stack of poisoned to face-up enemy,res://Assets/dice-spread spore.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}]","[{""type"": 0, ""value"": -4, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st009"", ""target_index"": [0]}]",,TRUE,
fh023,,,bite,Deal 6 to front enemy. Restore 4 health.,res://Assets/dice-bite.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}, {""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 1}]","[{""type"": 0, ""value"": -6, ""target_index"": [0]}, {""type"": 0, ""value"": 4, ""target_index"": [1]}]",,TRUE,
fh024,,,haunt,"Deal 6 damage to the front enemy. If self has Stealth, deal 12 instead.",res://Assets/dice-haunt.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}]","[{""type"": 0, ""value"": -6, ""target_index"": [0]}]","[""ht003""]",TRUE,
fh025,,,drill,Deal 8 damage to the front enemy. Retreat 1. Gain Expose.,res://Assets/dice-drill.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}, {""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 1}]","[{""type"": 0, ""value"": -8, ""target_index"": [0]}, {""type"": 2, ""special_id"": ""retreat"", ""steps"": 1, ""target_index"": [1]}, {""type"": 1, ""status_id"": ""st017"", ""target_index"": [1]}]",,TRUE,
fh026,,,drill plus,Deal 12 damage to the front enemy. Retreat 1.,res://Assets/dice-drill plus.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}, {""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 1}]","[{""type"": 0, ""value"": -12, ""target_index"": [0]}, {""type"": 2, ""special_id"": ""retreat"", ""steps"": 1, ""target_index"": [1]}]",,TRUE,
fh027,,,daze,Deal 3 to all enemies.,res://Assets/dice-daze.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {}, ""index"": 0}]","[{""type"": 0, ""value"": -3, ""target_index"": [0]}]",,,
fh028,,,step strike,Deal 5 damage to the front enemy. Advance 1.,res://Assets/dice-step strike.png,,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}, {""team"": 0, ""type"": 0, ""condition"": {""self"": true}, ""index"": 1}]","[{""type"": 0, ""value"": -5, ""target_index"": [0]}, {""type"": 2, ""special_id"": ""advance"", ""steps"": 1, ""target_index"": [1]}]",,,
fh029,,,bubbles,Deal 8 and grant 1 stack of slow to front enemy.,res://Assets/dice-bubbles.png,6,0,"[{""team"": 1, ""type"": 0, ""condition"": {""selector"": ""front_enemy""}, ""index"": 0}]","[{""type"": 0, ""value"": -8, ""target_index"": [0]}, {""type"": 1, ""status_id"": ""st012"", ""target_index"": [0]}]",,,
fh030,,,cover_legacy,Heal front ally 6. Excess healing becomes shield.,res://Assets/dice-cover.png,,,"[{""team"": 0, ""type"": 0, ""condition"": {""selector"": ""front_ally""}, ""index"": 0}]","[{""type"": 0, ""value"": 6, ""overflow_to_shield"": true, ""target_index"": [0]}]",,,FALSE
